video,verbal_fluency,verbal_fluency_explanation,hope_and_pe,hope_and_pe_explanation,persuasiveness,persuasiveness_explanation,emotional_expression,emotional_expression_explanation,wau,wau_explanation,empathy,empathy_explanation,abc,abc_explanation,arrr,arrr_explanation,suggestion
EH0822_T1_Luke.mp4,4.0,"The clinician speaks clearly and maintains a steady pace, indicating good verbal fluency.",3.0,"The clinician expresses hope and positive expectations by encouraging the patient to focus on their rights and needs, but could be more explicit in building the pathways towards achieving these goals.",4.0,"The clinician provides a clear and organized understanding of the patient's concerns, demonstrating persuasiveness.",3.0,"The clinician's tone is generally calm and supportive, but there are moments where the expression could be more emotionally resonant to better connect with the patient.",4.0,"The clinician shows warmth, acceptance, and understanding by acknowledging the patient's feelings and experiences, though there are no overt signs of judgment or disapproval.",4.0,"The clinician demonstrates empathy by showing understanding of the patient's perspective and experiences, as evidenced by the use of phrases like 'I hear you' and 'I think it's great that you're bringing this up.'",4.0,"The clinician creates a collaborative environment by inviting the patient to share their hopes and needs, and by discussing the patient's upbringing in a way that suggests a joint effort to understand the patient's patterns.",4.0,The clinician appears responsive to the patient's emotional and interpersonal cues by addressing the patient's concerns directly and providing a supportive framework for discussion.,The clinician could enhance emotional resonance by using more expressive language and gestures to better connect with the patient's emotional state. This could further strengthen the therapeutic alliance and facilitate deeper exploration of the patient's experiences.
EH0822_T2_John.mp4,3.0,"The clinician speaks in a relatively steady pace without significant signs of anxiety or awkward pauses. However, the content of the conversation seems to be repetitive and lacks dynamic variation.",2.0,There is no explicit expression of hope or positive expectations in the transcript. The clinician seems to focus more on the process of therapy rather than providing a rationale or building pathways for change.,3.0,"The clinician attempts to persuade the patient by explaining the benefits of talking in therapy. However, the explanation feels somewhat generic and lacks depth in addressing the patient's specific concerns.",2.0,"The clinician's emotional expression is limited. There are no visible or audible indicators of empathy or concern, which suggests a lack of emotional engagement with the patient.",3.0,"The clinician demonstrates a moderate level of warmth, acceptance, and understanding. The clinician acknowledges the patient's feelings and thoughts, but the tone remains neutral and professional.",2.0,"The clinician shows some understanding of the patient's feelings and thoughts, but the empathetic response is not deeply felt or conveyed with strong emotional resonance.",3.0,"The clinician attempts to establish a collaborative environment by inviting the patient to discuss their problem and exploring potential patterns. However, the approach feels somewhat superficial.",3.0,"The clinician appears responsive to the patient's emotional cues by acknowledging the patient's feelings and thoughts. However, the response could be more actively engaged to repair any potential alliance issues.",The clinician should aim to increase emotional engagement by showing more empathy and expressing genuine concern for the patient's feelings. This can be achieved by using more open-ended questions and reflecting back the patient's emotions more vividly.
EH0822_T2_Luke.mp4,3.0,"The clinician speaks in a moderate pace, without significant signs of anxiety or hesitation. However, the delivery could be smoother.",2.0,There is no explicit expression of hope or positive expectations in the transcript. The clinician seems to acknowledge the patient's dilemma but does not offer any optimistic outlook.,3.0,"The clinician provides a clear understanding of the patient's dilemma, but the content lacks a strong persuasive element. The clinician does not offer a plausible explanation or rationale for the patient's situation.",2.0,The clinician's tone is neutral and lacks emotional expression. There is no indication of empathy or concern in the voice.,3.0,"The clinician shows a caring attitude towards the patient by acknowledging the patient's dilemma. However, there is no overt sign of acceptance or understanding beyond this acknowledgment.",3.0,"The clinician demonstrates a basic level of empathy by acknowledging the patient's feelings and concerns. However, the empathetic response is not deeply felt or expressed through body language.",3.0,"The clinician seems to be setting up a collaborative environment by acknowledging the patient's dilemma and offering insights. However, the clinician does not explicitly invite the patient to participate in the problem-solving process.",4.0,"The clinician does not appear to encounter any immediate issues that would require repair. The conversation flows smoothly, and the clinician maintains a consistent approach throughout.",The clinician can enhance the session by incorporating more emotional expression and deeper empathy. This could be achieved through more open-ended questions and active listening techniques to better understand the patient's feelings and experiences.
EO0207_T1_Jackson.mp4,4.5,"The clinician speaks clearly and maintains a steady pace throughout the conversation, indicating good verbal fluency.",3.0,"The clinician expresses hope and positive expectations by suggesting alternative ways to handle situations, but the tone is somewhat neutral and lacks enthusiasm.",3.5,"The clinician attempts to persuade the patient by providing a rationale for considering different perspectives, but the delivery is not entirely convincing.",3.0,"The clinician's emotional expression is moderate, with a neutral tone that does not fully convey the depth of the patient's feelings.",4.0,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging the patient's frustration and validating their concerns.",4.5,"The clinician shows empathy by recognizing the patient's high standards and the impact they have on others, indicating a deep understanding of the patient's perspective.",4.0,The clinician fosters a collaborative environment by encouraging the patient to consider different viewpoints and engage in problem-solving together.,4.5,The clinician is responsive to the patient's emotional cues by addressing their frustration and providing constructive feedback.,The clinician could enhance their emotional expression by using more expressive language and gestures to better convey empathy and understanding.
EO0207_T1_Luke.mp4,4.5,"The clinician speaks clearly and maintains a steady pace throughout the conversation, indicating verbal fluency.",4.0,The clinician expresses hope and positive expectations by acknowledging Luke's desire to take responsibility and suggesting they can work together to achieve his goals.,3.5,"The clinician attempts to persuade Luke by explaining the collaborative nature of their work and suggesting a discussion to address any issues, though the tone seems slightly directive.",3.0,"The clinician's facial expressions are neutral, and while the tone is friendly, there is no overt emotional expression visible in the video.",4.5,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging Luke's feelings and willingness to take responsibility, showing a caring attitude towards his concerns.",4.0,"The clinician shows empathy by recognizing Luke's pressure and concern, and by suggesting a discussion to address these issues, indicating an understanding of his subjective experience.",4.5,The clinician displays strong alliance bond capacity by proposing a collaborative approach to addressing Luke's concerns and working together to find solutions.,4.0,"The clinician appears responsive to the interpersonal issue by offering a solution-oriented approach and suggesting a discussion to address Luke's concerns, showing readiness to repair any potential rupture.","The clinician could enhance emotional expression by using more open-ended questions and gestures to show engagement and empathy, which would further strengthen the therapeutic alliance."
EO0207_T3_Luke.mp4,4.5,The clinician speaks clearly and maintains a steady pace throughout the conversation.,4.0,The clinician expresses hope and positive expectations by acknowledging the patient's progress and suggesting a discussion on potential challenges ahead.,3.5,"The clinician provides a clear and organized understanding of the patient's situation, but there is room for improvement in conveying a more compelling narrative.",3.0,"The clinician's emotional expression is moderate; they maintain a neutral tone, which is appropriate for the context but could benefit from more warmth and engagement.",4.5,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging the patient's insights and progress, and by showing empathy towards their concerns.",4.0,"The clinician shows empathy by recognizing the patient's perspective and discussing potential future challenges, indicating a shared understanding of the patient's feelings.",4.5,"The clinician fosters a collaborative environment by inviting the patient to reflect on their progress and discuss potential changes, indicating a strong alliance bond capacity.",4.0,"The clinician appears responsive to the patient's emotional cues by addressing their concerns and suggesting a discussion on potential challenges, showing readiness to repair any potential alliance ruptures.","The clinician could enhance their emotional expression by incorporating more warmth and enthusiasm, which would further strengthen the therapeutic alliance and make the session more engaging for the patient."
ES0221_T3_Bethany.mp4,4.0,"The clinician speaks clearly and maintains a steady pace, indicating good verbal fluency. There are no significant signs of anxiety or hesitations.",3.0,"The clinician expresses hope by encouraging the patient to make decisions and feel more assertive, but the tone is somewhat neutral and lacks enthusiasm.",3.0,"The clinician provides a clear understanding of the patient's concerns and offers a rationale for working on assertiveness, showing some persuasiveness.",2.0,"The clinician's facial expressions are mostly neutral, and there is a lack of visible emotional expression, which could be improved to better connect with the patient.",4.0,"The clinician demonstrates warmth and acceptance by acknowledging the patient's feelings and offering support, though the tone remains professional.",3.0,"The clinician shows some understanding of the patient's difficulties in making decisions and speaking up, but the empathy could be deeper and more reflective.",4.0,The clinician seems to be establishing a collaborative environment by inviting the patient to elaborate on their feelings and work together on solutions.,3.0,"The clinician appears responsive to the patient's concerns by addressing them directly and offering a plan of action, but there is room for more active engagement.",The clinician could enhance emotional connection by incorporating more expressive body language and facial cues to better reflect the patient's emotions and experiences.
ES0221_T3_John.mp4,4.0,"The clinician speaks clearly and maintains a steady pace, indicating good verbal fluency. There are no significant signs of anxiety or hesitations.",3.0,"The clinician expresses hope and positive expectations by encouraging the patient to reflect on their own thoughts and feelings, which is a step towards building agency. However, the clinician could be more explicitly optimistic and hopeful.",3.0,"The clinician provides a clear understanding of the patient's situation and the challenges they face, which is persuasive. However, the clinician could be more assertive in conveying the importance of the patient's self-reflection.",2.0,"The clinician's emotional expression is moderate, with a neutral tone. While the clinician is attentive, there is room for more warmth and empathy in their delivery.",4.0,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging the patient's feelings and concerns. The clinician's demeanor suggests a caring attitude.",4.0,The clinician shows empathy by recognizing the patient's emotional state and the difficulties they are facing. The clinician's tone and body language convey a deep understanding of the patient's experience.,4.0,The clinician fosters a collaborative environment by inviting the patient to share their thoughts and feelings. The clinician's approach indicates a strong alliance bond capacity.,4.0,The clinician appears responsive to the patient's emotional cues by addressing the patient's concerns and encouraging self-reflection. The clinician's response is timely and appropriate.,"The clinician could enhance their emotional expression by using more warm and empathetic language, which would further strengthen the therapeutic alliance and encourage the patient to open up more."
KC0616_T1_Jackson.mp4,4.0,"The clinician speaks clearly and maintains a steady pace, indicating good verbal fluency.",3.0,"The clinician expresses curiosity and openness by asking questions about the patient's background, which can foster hope and positive expectations.",2.0,"The clinician's response is open-ended and exploratory, which may not be highly persuasive in this context.",3.0,The clinician's tone remains neutral and professional throughout the interaction.,4.0,The clinician shows warmth and acceptance by maintaining eye contact and a calm demeanor.,4.0,The clinician demonstrates empathy by showing interest in the patient's thoughts and experiences.,4.0,The clinician creates a collaborative environment by engaging in a dialogue that encourages the patient to share their thoughts.,3.0,The clinician appears responsive to the patient's emotional cues by maintaining a supportive and open posture.,"The clinician could enhance persuasiveness by providing more structured guidance or suggestions that align with the patient's goals, while maintaining a warm and empathetic approach."
KC0616_T2_Jessica.mp4,4.5,"The clinician speaks clearly and maintains a steady pace, indicating verbal fluency. There are no significant signs of anxiety or hesitations.",3.0,"The clinician expresses hope by suggesting a path forward and encouraging reflection on past experiences, but the tone is more neutral and less enthusiastic compared to a high score.",3.5,"The clinician provides a clear understanding of the patient's concerns and offers a plausible explanation for the patient's feelings, demonstrating persuasiveness.",3.0,"The clinician's tone is calm and professional, showing moderate emotional expression, which is appropriate for the context.",4.5,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging the patient's frustration and providing a supportive environment for reflection.",4.0,"The clinician shows empathy by recognizing the patient's sense of urgency and frustration, and by asking questions that reflect an understanding of the patient's perspective.",4.5,The clinician fosters a collaborative environment by inviting the patient to explore the origins of their urgency and by offering a supportive framework for discussion.,4.0,The clinician appears responsive to the patient's emotional cues by addressing the patient's frustration and by inviting further exploration of the patient's feelings.,"The clinician could enhance the session by incorporating more enthusiasm and positivity to build hope and positive expectations, which could further strengthen the therapeutic alliance."
KD1005_T1_Luke.mp4,4.5,"The clinician speaks clearly and maintains a steady pace, indicating verbal fluency. There are no significant signs of anxiety or hesitations.",3.5,"The clinician expresses hope and positive expectations by inviting the patient to consider the collaborative nature of their work and discussing the importance of transparency and managing expectations. However, the language used is somewhat generic and could be more personalized to boost the patient's confidence.",4.0,The clinician communicates a clear understanding of the patient's concerns and offers a believable myth by explaining the collaborative nature of therapy and the importance of open communication. The clinician's tone suggests a strong capacity to persuade.,3.0,"The clinician's emotional expression is moderate, with a neutral tone that reflects a professional demeanor. While the clinician is attentive, there is room for more warmth and empathy to connect more deeply with the patient.",4.5,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging the patient's feelings and experiences. The clinician's tone and choice of words convey a caring attitude and determination to help the patient.",4.0,"The clinician shows empathy by expressing understanding of the patient's subjective experience and thoughts. The clinician accurately conveys the patient's concerns and feelings, indicating a good level of empathy.",4.5,The clinician provides a collaborative environment by inviting the patient to participate in the therapeutic process and emphasizing the importance of open communication. The clinician's approach fosters a strong alliance bond capacity.,4.0,The clinician appears responsive to the patient's emotional and interpersonal cues by addressing the patient's concerns about the pace of therapy and the management of expectations. The clinician's responses are timely and relevant.,"The clinician could enhance the emotional connection by incorporating more warmth and empathy in their responses. This could be achieved through the use of more personal and encouraging language, which would further strengthen the alliance bond and make the therapeutic relationship more supportive."
KD1005_T3_Lauren.mp4,4.0,"The clinician speaks clearly and maintains a steady pace, indicating verbal fluency.",3.0,"The clinician expresses hope and positive expectations by acknowledging the patient's progress and inviting feedback, but the tone is somewhat neutral.",3.0,"The clinician provides a clear understanding of the patient's concerns and invites feedback, demonstrating persuasiveness.",2.0,The clinician's emotional expression is moderate; they maintain a composed demeanor throughout the conversation.,4.0,"The clinician demonstrates warmth, acceptance, and understanding by acknowledging the patient's feelings and experiences.",4.0,The clinician shows empathy by expressing understanding of the patient's experiences and concerns.,4.0,The clinician fosters a collaborative environment by inviting the patient to share their feedback and discussing the importance of open communication.,4.0,The clinician appears responsive to the patient's emotional and interpersonal cues by addressing the patient's concerns and inviting further feedback.,The clinician could enhance emotional expression by using more varied vocal inflections and gestures to better convey empathy and engagement.
MR0713_T3_Savannah.mp4,4.0,"The clinician speaks clearly and maintains a steady pace, indicating good verbal fluency.",3.0,"The clinician expresses hope by acknowledging the patient's feelings and suggesting exploration of reasons for lack of progress, but does not explicitly build positive expectations or offer a rationale for change.",3.0,The clinician provides a clear understanding of the patient's concerns but does not attempt to persuade the patient to adopt a new perspective or belief system.,2.0,"The clinician's expression remains neutral throughout the clip, lacking visible emotional expression.",4.0,The clinician demonstrates warmth and acceptance by acknowledging the patient's feelings and showing empathy.,4.0,The clinician shows empathy by expressing understanding of the patient's feelings and concerns.,4.0,The clinician creates a collaborative environment by inviting the patient to explore reasons for lack of progress and working together on solutions.,4.0,The clinician appears responsive to the patient's emotional cues by addressing the patient's feelings and concerns directly.,The clinician could enhance emotional expression by using more varied facial expressions to better convey empathy and understanding.
