video,Verbal Fluency,Hope & Positive Expectations,Persuasiveness,Emotional Expression,Alliance Rupture-Repair Responsiveness,Alliance Bond Capacity,"Warmth, Acceptance, & Understanding",Empathy
data/FIS996/KC0616_T2_Luke,,"The clinician's response is ordinary. There is no clear hope about the client's future or positive expectations about therapeutic work. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. Therefore, the score is 33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,"The clinician's response is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician's response is delivered in a highly emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly emotional and engaging manner. The clinician's response is delivered in a highly","The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician acknowledges the client's awareness of the interpersonal situation and the client's concern about the relationship. The clinician also acknowledges the client's sense of urgency and the client's internalization of adversity in interpersonal relationships. The clinician also acknowledges the client's sense of progress in the relationship. However, the clinician does not directly address the interpersonal issue presented, but directs the discussion away from the present relationship situation. Therefore, the clinician's response is rated as Score 4.",,,
data/FIS996/CS0920_T3_Lauren,,,,,,"The clinician asks the patient to share her concerns about the therapy and previous therapists. The clinician also asks the patient to share her expectations for the current therapy. The clinician is trying to build a collaborative atmosphere. Therefore, the clinician gets a score of 44555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",,
data/FIS996/RM0824_T3_Sean,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the response being unorganized, incoherent, and difficult to follow. The participant may also not know what to say. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not offer any advice. The clinician does not speak persuasively. The rationale may be more implicit and it is even possible that the rationale, though present, may be unclear, superficial, or marginally relevant to the other’s problems. The clinician’s response conveys little sense of persuasiveness.",,,,"The clinician shows a warm and accepting attitude towards the patient. She acknowledges the patient's disappointment and expresses her desire to help the patient get a better job. She also shows understanding of the patient's feelings towards her and the therapy session. Overall, the clinician demonstrates a high level of warmth, acceptance, and understanding towards the patient.",
data/FIS996/RL0702_T2_Savannah,,,"The response is unorganized, incoherent, and difficult to follow. The participant may also not know what to say. So the score is 55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",,,,,
data/FIS996/VS0305_T3_Sean,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician neither undermines nor attempts to enhance a collaborative effort. Therefore, the clinician scores a 33.333333333333336.",,
data/FIS996/SN0216_T3_Luke,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician mentions that the patient is concerned about what therapy looks like or what success would look like. The clinician also mentions that therapy can take a lot of different ways and sometimes we have to go backwards a little bit and things can look a little different. The clinician also mentions that the patient tends to blame it on themselves when things don't turn out the way they expect them to. The clinician also mentions that there's no specific way this should go. The clinician also mentions that the patient is hearing what the patient envisioned this would look like. Therefore, the clinician gets a score of 337545333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/BK0813_T3_Luke,,,,,,,,"The clinician is aware of the patient's frustration and expresses empathy towards her. However, the clinician does not provide any specific information about the patient's experience. The clinician does not infer anything about the patient's experience that is not explicitly stated by the patient. The clinician does not comment accurately on the patient's experience. The clinician does not perceive the more obvious aspects of the patient's experience or concerns. The clinician does not communicate an awareness or understanding of the patient’s experience. The clinician does not distort the patient's experience. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not indicate a clear disregard of the patient’s experience. The clinician does not provide any relevant information about the patient's experience. The clinician does not provide any information about the patient's experience that is not explicitly stated by the patient. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s verbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression and verbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal expression, and nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal expression, and nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal expression, and nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal expression, and nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal expression, and nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal expression, and nonverbal expression. The clinician does not provide any information about the patient's experience that is not clearly identifiable in the patient’s nonverbal expression, verbal"
data/FIS996/EH0202_T1_Jessica,,,,,,,,"The clinician shows empathy towards the patient's disappointment and acknowledges her diligence in attending sessions. However, the clinician does not show any signs of inferring anything about the patient's experience beyond what is explicitly stated by the patient. The clinician does not show any signs of inferring anything about the patient's experience beyond what is explicitly stated by the patient. Therefore, the clinician receives a score of 3375344444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444"
data/FIS996/MB1122_T2_Savannah,,"The clinician's response is ordinary and does not express clear hope about the client’s future and/or positive expectations about therapeutic work. In addition, there is no allusion to building the client’s agency as well as how the client might participate or do something that will help move toward his/her desired goals (i.e., pathways). Therefore, the clinician's response is coded as Score 3.",,,,,,
data/FIS996/JK0328_T3_Luke,,,,,,,"The clinician shows a high level of warmth, acceptance, and understanding towards the patient. The clinician acknowledges the patient's feelings about the uncertainty of therapy and the potential disappointment she might feel. The clinician's response is nonjudgmental and gently explores the patient's thoughts and feelings. The clinician appears concerned for and respectful of the patient. Therefore, the clinician's response meets the criteria for Score 2.",
data/FIS996/VS0305_T3_John,,"The clinician does not express clear hope about the client’s future and/or positive expectations about therapeutic work. The clinician does not build the client’s agency as well as how the client might participate or do something that will help move toward his/her desired goals (i.e., pathways). The clinician does not offer a rationale, friendliness, or enthusiasm. The clinician does not build the client’s agency for actions that will facilitate meeting the client’s goals. The clinician does not provide a plausible explanation. The clinician does not address issues or concerns beyond the control of the other. The clinician does not subtly suggest that the other cannot change or improve his/her problems. The clinician does not address the client’s concerns. The clinician does not address the client’s emotions. The clinician does not address the client’s interpersonal cues. The clinician does not address the client’s challenges. The clinician does not address the client’s strengths. The clinician does not address the client’s weaknesses. The clinician does not address the client’s past experiences. The clinician does not address the client’s future. The clinician does not address the client’s values. The clinician does not address the client’s beliefs. The clinician does not address the client’s fears. The clinician does not address the client’s hopes. The clinician does not address the client’s dreams. The clinician does not address the client’s desires. The clinician does not address the client’s needs. The clinician does not address the client’s wants. The clinician does not address the client’s goals. The clinician does not address the client’s aspirations. The clinician does not address the client’s motivations. The clinician does not address the client’s attitudes. The clinician does not address the client’s behaviors. The clinician does not address the client’s actions. The clinician does not address the client’s reactions. The clinician does not address the client’s responses. The clinician does not address the client’s feelings. The clinician does not address the client’s emotions. The clinician does not address the client’s interpersonal cues. The clinician does not address the client’s challenges. The clinician does not address the client’s strengths. The clinician does not address the client’s weaknesses. The clinician does not address the client’s past experiences. The clinician does not address the client’s future. The clinician does not address the client’s values. The clinician does not address the client",,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as intense as the maximum rating of 5. The clinician does not use affect to provoke or challenge the patient in the video clip. The clinician does not use affect to demean or hostile toward the other. Therefore, the clinician receives a score of 33753333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,,
data/FIS996/EH0822_T2_Luke,,,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician mentions that the patient is beating himself up for not improving, and that he is feeling guilty. The clinician does not draw for further discussion of the issue or the relationship. Therefore, the clinician gets a score of 337545.",,,
